KJT Medicine Prof. Corp.
Revenue,80919.22
Expenses,82932.71
Income,-2013.49
CHEQUE
2020-08-24,CHEQUE NO. 2083,-3375.63
2020-08-17,CHEQUE NO. 2081,-1396.55
2020-07-31,CHEQUE NO. 2079,-395.5
2020-07-31,CHEQUE NO. 2080,-1396.55
2020-07-17,CHEQUE NO. 2078,-1396.55
2020-07-03,CHEQUE NO. 2077,-1396.55
2020-07-02,CHEQUE NO. 2075,-3375.63
2020-07-02,CHEQUE NO. 2076,-3375.63
2020-06-19,CHEQUE NO. 2074,-1396.55
2020-06-18,CHEQUE NO. 2073,-3503.0
MISCELLANEOUS ACC. ONTARIO  HEALTH
2020-08-14,MISCELLANEOUS ACC. ONTARIO  HEALTH,15369.59
2020-07-15,MISCELLANEOUS ACC. ONTARIO  HEALTH,15956.12
2020-06-12,MISCELLANEOUS ACC. ONTARIO  HEALTH,25674.47
ACCOUNT PAYABLE TELUS COMM
2020-08-24,ACCOUNT PAYABLE TELUS COMM,-466.69
2020-07-22,ACCOUNT PAYABLE TELUS COMM,-466.69
2020-06-22,ACCOUNT PAYABLE TELUS COMM,-466.69
2020-06-15,ACCOUNT PAYABLE TELUS COMM,-466.69
2020-06-15,ACCOUNT PAYABLE TELUS COMM,-1695.0
2020-06-15,ACCOUNT PAYABLE TELUS COMM,-565.0
G/DEPOSIT 
2020-09-04,G/DEPOSIT ,100.0
2020-08-13,G/DEPOSIT ,144.15
2020-07-31,G/DEPOSIT ,25.0
2020-07-31,G/DEPOSIT ,10.0
2020-07-31,G/DEPOSIT ,130.0
2020-07-31,G/DEPOSIT ,35.0
2020-07-31,G/DEPOSIT ,120.0
2020-07-20,G/DEPOSIT ,195.0
2020-07-06,G/DEPOSIT ,25.0
2020-06-29,G/DEPOSIT ,110.0
2020-06-15,G/DEPOSIT ,40.0
MISCELLANEOUS ACC. OMA M'SHIP DUES
2020-08-17,MISCELLANEOUS ACC. OMA M'SHIP DUES,-155.54
2020-07-15,MISCELLANEOUS ACC. OMA M'SHIP DUES,-155.54
2020-06-15,MISCELLANEOUS ACC. OMA M'SHIP DUES,-155.54
PAD CCRA CANADA
2020-08-31,PAD CCRA CANADA,-1582.59
2020-07-09,PAD CCRA CANADA,-2061.7
2020-06-16,PAD CCRA CANADA,-958.22
MISCELLANEOUS ACC. AVISO CQSI
2020-08-21,MISCELLANEOUS ACC. AVISO CQSI,-15000.0
2020-06-17,MISCELLANEOUS ACC. AVISO CQSI,-20000.0
FEDERAL PAYMENT CANADA
2020-08-28,FEDERAL PAYMENT CANADA,2296.22
2020-07-30,FEDERAL PAYMENT CANADA,6776.0
2020-06-18,FEDERAL PAYMENT CANADA,1047.42
2020-06-18,FEDERAL PAYMENT CANADA,1999.01
2020-06-18,FEDERAL PAYMENT CANADA,1571.13
MISCELLANEOUS ACC. CMPA-ACPM
2020-08-20,MISCELLANEOUS ACC. CMPA-ACPM,-409.0
2020-07-20,MISCELLANEOUS ACC. CMPA-ACPM,-409.0
2020-06-22,MISCELLANEOUS ACC. CMPA-ACPM,-409.0
INTEREST 
2020-08-31,INTEREST ,0.0
2020-07-31,INTEREST ,0.0
2020-06-30,INTEREST ,0.0
NON RESIDENT TAX 
2020-06-30,NON RESIDENT TAX ,0.0
MISCELLANEOUS ACC. MOHAWK MEDICAL
2020-09-01,MISCELLANEOUS ACC. MOHAWK MEDICAL,-2431.16
2020-08-04,MISCELLANEOUS ACC. MOHAWK MEDICAL,-2431.16
2020-07-02,MISCELLANEOUS ACC. MOHAWK MEDICAL,-2355.78
OP. LOAN DISB. 
2020-07-09,OP. LOAN DISB. ,2500.0
2020-07-03,OP. LOAN DISB. ,1250.0
2020-07-02,OP. LOAN DISB. ,1250.0
TELEPHONE BILL PAY ROGERS PAC
2020-09-01,TELEPHONE BILL PAY ROGERS PAC,-272.84
2020-08-03,TELEPHONE BILL PAY ROGERS PAC,-270.14
2020-07-02,TELEPHONE BILL PAY ROGERS PAC,-270.04
G/BILL PMT 
2020-09-04,G/BILL PMT ,-1152.94
2020-08-13,G/BILL PMT ,-753.67
2020-07-06,G/BILL PMT ,-401.01
OP. LOAN REPMNT 
2020-07-15,OP. LOAN REPMNT ,-5000.0
THE COLLEGE OF FMLY PH 905-629-0900  ON 
2020-07-16,THE COLLEGE OF FMLY PH 905-629-0900  ON ,-737.75
FEES/DUES ONTARIO  HEALTH
2020-07-17,FEES/DUES ONTARIO  HEALTH,985.75
STERICYCLE             905-629-7190  ON 
2020-07-21,STERICYCLE             905-629-7190  ON ,-63.6
INT. ON OP. LOAN 
2020-07-27,INT. ON OP. LOAN ,-10.0
TAX REFUND CANADA
2020-07-31,TAX REFUND CANADA,651.69
NERDS ON-SITE          LONDON        ON 
2020-08-03,NERDS ON-SITE          LONDON        ON ,-39.55
GILAD PROPERITES       OTTAWA        ON 
2020-08-06,GILAD PROPERITES       OTTAWA        ON ,-293.8
PAYMENT RECEIVED THANK YOU
2020-08-13,PAYMENT RECEIVED THANK YOU,753.67
A LA CARTE REWARDS PLAN POINTS          
2020-08-14,A LA CARTE REWARDS PLAN POINTS          ,0
NEW POINTS BALANCE          :  56
2020-08-14,NEW POINTS BALANCE          :  56,452
POINTS EARNED THIS MONTH    :   1
2020-08-14,POINTS EARNED THIS MONTH    :   1,702
POINTS REDEEMED THIS MONTH  :       0   
2020-08-14,POINTS REDEEMED THIS MONTH  :       0   ,0
PREVIOUS POINTS BALANCE     :  54
2020-08-14,PREVIOUS POINTS BALANCE     :  54,750
null
2020-08-14,null,-18.24
